LCSC,Ref,Status,Detail
C60490,R_PWR_CMD4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_PWR_EN1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_PWR_EN2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_PWR_EN3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60490,R_PWR_EN4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C19702,C_BUCK_IN,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C114760,R_RBIAS,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C22807,R_AGG_UV_TOP,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C327368,R_ILIM1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C327368,R_ILIM2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C327368,R_ILIM3,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C327368,R_ILIM4,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C327368,R_ILIM_CTRL,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C136277,C_TRUNK_USB,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C136277,C_TRUNK_USB,POLARITY-FIT-OK,marking channel agrees with the pad fit (both at pad 1; margins 1.03/0.25mm)
C136277,C_TRUNK_USB,OK,fit=0.03mm jlc_offset=0 db=0.0 src=lcsc
C1549,C_XTAL1,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1549,C_XTAL2,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C3819953,J_PWR,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C138033,R_XTAL,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C110776,R_AGG_ILIM,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C52923,C_HUB_18,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C52923,C_HUB_18PLL,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C52923,C_HUB_A_BULK,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C52923,C_HUB_CR_BULK,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
