Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
LMV393IDR,"U_COMP,U_COMP2",SOIC-8_3.9x4.9mm_P1.27mm,C7984,2,OK,C7984,expand,15896,LMV393IDR,SOIC-8,0.4245
LTV-817S-TA1,U_OPTO,SMDIP-4_W9.53mm,C125121,1,OK,C125121,expand,4088,LTV-817S-TA1,SMD-4P,0.1143
MAX31856MUD+T,U_TC,TSSOP-14_4.4x5mm_P0.65mm,C2653162,1,OK,C2653162,expand,7985,MAX31856MUD+T,TSSOP-14,4.3169
MCP23017-E/SS,U_EXP,SSOP-28_5.3x10.2mm_P0.65mm,C506653,1,OK,C506653,expand,896,MCP23017-E/SS,SSOP-28(5.3x10.2x0.65),1.8769
MCP3208-CI-SL,U_ADC,SOIC-16_3.9x9.9mm_P1.27mm,C16939,1,OK,C16939,expand,124,MCP3208-CI/SL,SOIC-16,3.5132
MF-MSMF200L-2,F1,Fuse_1812_4532Metric,C89650,1,OK,C89650,expand,244,MF-MSMF200L-2,1812,0.0507
PESD5V0S1BA,"D_DOOR,D_ESD_IN,D_ESTOP,D_LCCLK,D_LCDAT",D_SOD-323,C5158048,5,OK,C5158048,expand,395615,PESD5V0S1BA,SOD-323,0.0184
SM05B-GHS-TB,"J_DOOR,J_ESTOP,J_MODE,J_RH_AMBIENT,J_RH_EXHAUST",JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,C189896,5,OK,C189896,expand,81615,SM05B-GHS-TB(LF)(SN),"SMD,P=1.25mm,Surface Mount，Right Angle",0.2008
SM08B-GHS-TB,"J_THERM_A,J_THERM_B",JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,C265111,2,OK,C265111,expand,9710,SM08B-GHS-TB(LF)(SN),"SMD,P=1.25mm,Surface Mount，Right Angle",0.56
SM10B-GHS-TB,J_KEY_MATRIX,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,C2683602,1,OK,C2683602,expand,8559,SM10B-GHS-TB,"SMD,P=1.25mm,Surface Mount，Right Angle",0.5358
SMBJ5.0A,D_TVS,D_SMB,C113974,1,OK,C113974,expand,236638,SMBJ5.0A,DO-214AA(SMB),0.0581
SN74HC14DR,U_SCHM,SOIC-14_3.9x8.7mm_P1.27mm,C6820,1,OK,C6820,expand,62903,SN74HC14DR,SOIC-14,0.1584
SN74HC238DR,"U_DECD,U_DECU",SOIC-16_3.9x9.9mm_P1.27mm,C5620,2,OK,C5620,expand,5574,"74HC238D,653",SOIC-16,0.5923
SN74HC595DR,U_SR1,SOIC-16_3.9x9.9mm_P1.27mm,C10092,1,OK,C10092,expand,31208,SN74HC595DR,SOIC-16,0.2145
SN74LVC1G00DCKR,"U_LATCHA,U_LATCHB,U_OENAND,U_STOPINV",SOT-353_SC-70-5,C8185,4,OK,C8185,expand,15010,SN74LVC1G00DCKR,SOT-353,0.0891
SN74LVC1G11DBVR,"U_AND1,U_AND2,U_AND3,U_CAND1,U_CAND2,U_DECDEN,U_DECUEN,U_FAULTAND,U_LATCHG,U_OSCLR",SOT-23-6,C22046,10,OK,C22046,expand,3706,SN74LVC1G11DBVR,SOT-23-6,0.2126
SS34,"D_KSTOP,D_REVCLAMP",D_SMA,C8678,2,OK,C8678,base,2521912,SS34,SMA(DO-214AC),0.0349
TPS259573DSGR,U_EFUSE,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C2653844,1,OK,C2653844,expand,160,TPS259573DSGR,WSON-8-EP(2x2),0.4648
TPS3823-33DBVR,U_WD,SOT-23-5,C7719,1,OK,C7719,expand,22526,TPS3823-33DBVR,SOT-23-5,0.2765
ULN2803ADWR,"U_ULNA,U_ULNB",SOIC-18W_7.5x11.6mm_P1.27mm,C9683,2,OK,C9683,expand,2315,ULN2803ADWR,SOIC-18-300mil,6.2276
