LCSC,Ref,Status,Detail
C5249699,F1,PAD-MULTIPLICITY,"pad number(s) 1,2 appear a different number of times on the two footprints (ours {'1': 2, '2': 2} vs JLC {'1': 1, '2': 1}) — a NAMING convention, not a geometry defect; those numbers are fitted by CENTROID. Non-fatal, but PAD-GEOM readings on the affected numbers compare a merged centroid against a single lead"
C5249699,F1,PAD-GEOM,pad 1<->2 ours 9.92mm vs JLC 3.40mm (d6.52mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C5249699,F1,PAD-MISMATCH,"best=(3.2600000000000007, False, 90)"
C5249699,F1,MOUNT-FALLBACK,"best 3.26mm at 90deg, over 0.5mm — body mounted at JLC's OWN footprint transform (offset 0, their model rot_z), NOT at the failed fit. The render is therefore what JLC's own CAD says, and is gated as such by twin_overlay"
C2930095,R20,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C2930095,R21,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C2930095,R22,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C2984354,R12,FETCH-FAILED,['[ERROR] Failed to fetch data from EasyEDA API for part C2984354']
C23184,R15,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C23184,R6,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C23215,R16,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C23215,R37,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C23215,R38,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C23215,R39,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C23215,R40,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C23215,R41,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C23215,R7,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C404363,Q2,PAD-GEOM,pad 2<->5 ours 5.08mm vs JLC 5.45mm (d0.37mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C404363,Q2,OK,fit=0.21mm jlc_offset=270 db=270.0 src=lcsc
C404363,Q3,PAD-GEOM,pad 2<->5 ours 5.08mm vs JLC 5.45mm (d0.37mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C404363,Q3,OK,fit=0.21mm jlc_offset=270 db=270.0 src=lcsc
C404363,Q4,PAD-GEOM,pad 2<->5 ours 5.08mm vs JLC 5.45mm (d0.37mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C404363,Q4,OK,fit=0.21mm jlc_offset=270 db=270.0 src=lcsc
C404363,Q5,PAD-GEOM,pad 2<->5 ours 5.08mm vs JLC 5.45mm (d0.37mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C404363,Q5,OK,fit=0.21mm jlc_offset=270 db=270.0 src=lcsc
C2760089,Q1,PAD-GEOM,pad 2<->5 ours 5.08mm vs JLC 5.40mm (d0.31mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C2760089,Q1,OK,fit=0.17mm jlc_offset=270 db=270.0 src=lcsc
C2760089,Q6,PAD-GEOM,pad 2<->5 ours 5.08mm vs JLC 5.40mm (d0.31mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C2760089,Q6,OK,fit=0.17mm jlc_offset=270 db=270.0 src=lcsc
C78284,Q7,OK,fit=0.08mm jlc_offset=180 db=180.0 src=lcsc
C78284,Q8,OK,fit=0.08mm jlc_offset=180 db=180.0 src=lcsc
C173429,D2,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C173429,D2,POLARITY-FIT-OK,marking channel agrees with the pad fit (both at pad 1; margins 0.71/0.47mm)
C173429,D2,OK,fit=0.01mm jlc_offset=0 db=0.0 src=lcsc
C503996,J2,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C503996,J3,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C503996,J4,OK,fit=0.00mm jlc_offset=0 db=0.0 src=lcsc
C2982822,C1,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2982822,C1,POLARITY-FIT-BLIND,"no usable polarity marking on our footprint — the numbering-free channel cannot run, so ONLY the human order-preview gate stands between this part and a 180deg reversal"
C2982822,C1,OK,fit=0.03mm jlc_offset=0 db=0.0 src=lcsc
C2982822,C2,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2982822,C2,POLARITY-FIT-BLIND,"no usable polarity marking on our footprint — the numbering-free channel cannot run, so ONLY the human order-preview gate stands between this part and a 180deg reversal"
C2982822,C2,OK,fit=0.03mm jlc_offset=0 db=0.0 src=lcsc
C2297,D10,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2297,D10,POLARITY-FIT,"the pad-number fit says offset 180, but the MARKING channel disagrees by 180deg: our polarity marking sits at pad 1 (margin 0.69mm) while JLC's sits at pad 2 (margin 0.23mm) — the two libraries NUMBER this part's terminals oppositely, so the pad fit is 180deg wrong PHYSICALLY and offset 0 is what places the part correctly. A pad fit cannot see this: 2 collinear pads are symmetric. RESOLVE against the DATASHEET terminal drawing, put this LCSC on the order-preview human gate, and never let the fitted angle populate the rotation table unchallenged"
C2297,D10,ROT-DB-SUGGEST,"fit=0.11mm jlc_offset=180 db=0.0 src=lcsc -> add LCSC row C2297,180 to jlc_lcsc_rotations.csv"
C2297,D11,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2297,D11,POLARITY-FIT,"the pad-number fit says offset 180, but the MARKING channel disagrees by 180deg: our polarity marking sits at pad 1 (margin 0.69mm) while JLC's sits at pad 2 (margin 0.23mm) — the two libraries NUMBER this part's terminals oppositely, so the pad fit is 180deg wrong PHYSICALLY and offset 0 is what places the part correctly. A pad fit cannot see this: 2 collinear pads are symmetric. RESOLVE against the DATASHEET terminal drawing, put this LCSC on the order-preview human gate, and never let the fitted angle populate the rotation table unchallenged"
C2297,D11,ROT-DB-SUGGEST,"fit=0.11mm jlc_offset=180 db=0.0 src=lcsc -> add LCSC row C2297,180 to jlc_lcsc_rotations.csv"
C2297,D12,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2297,D12,POLARITY-FIT,"the pad-number fit says offset 180, but the MARKING channel disagrees by 180deg: our polarity marking sits at pad 1 (margin 0.69mm) while JLC's sits at pad 2 (margin 0.23mm) — the two libraries NUMBER this part's terminals oppositely, so the pad fit is 180deg wrong PHYSICALLY and offset 0 is what places the part correctly. A pad fit cannot see this: 2 collinear pads are symmetric. RESOLVE against the DATASHEET terminal drawing, put this LCSC on the order-preview human gate, and never let the fitted angle populate the rotation table unchallenged"
C2297,D12,ROT-DB-SUGGEST,"fit=0.11mm jlc_offset=180 db=0.0 src=lcsc -> add LCSC row C2297,180 to jlc_lcsc_rotations.csv"
C2297,D9,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2297,D9,POLARITY-FIT,"the pad-number fit says offset 180, but the MARKING channel disagrees by 180deg: our polarity marking sits at pad 1 (margin 0.69mm) while JLC's sits at pad 2 (margin 0.23mm) — the two libraries NUMBER this part's terminals oppositely, so the pad fit is 180deg wrong PHYSICALLY and offset 0 is what places the part correctly. A pad fit cannot see this: 2 collinear pads are symmetric. RESOLVE against the DATASHEET terminal drawing, put this LCSC on the order-preview human gate, and never let the fitted angle populate the rotation table unchallenged"
C2297,D9,ROT-DB-SUGGEST,"fit=0.11mm jlc_offset=180 db=0.0 src=lcsc -> add LCSC row C2297,180 to jlc_lcsc_rotations.csv"
C2296,D8,POLARITY-CHECK,"2-pad polarized part: verify the model's polarity marking vs our silk in the render (if the model is unmarked, verify via the JLC order preview) - machine checks cannot see a 180-flipped symmetric model"
C2296,D8,POLARITY-FIT,"the pad-number fit says offset 180, but the MARKING channel disagrees by 180deg: our polarity marking sits at pad 1 (margin 0.69mm) while JLC's sits at pad 2 (margin 0.23mm) — the two libraries NUMBER this part's terminals oppositely, so the pad fit is 180deg wrong PHYSICALLY and offset 0 is what places the part correctly. A pad fit cannot see this: 2 collinear pads are symmetric. RESOLVE against the DATASHEET terminal drawing, put this LCSC on the order-preview human gate, and never let the fitted angle populate the rotation table unchallenged"
C2296,D8,ROT-DB-SUGGEST,"fit=0.11mm jlc_offset=180 db=0.0 src=lcsc -> add LCSC row C2296,180 to jlc_lcsc_rotations.csv"
C13755,U11,OK,fit=0.01mm jlc_offset=270 db=270.0 src=lcsc
C13755,U2,OK,fit=0.01mm jlc_offset=270 db=270.0 src=lcsc
C408523,L1,PAD-GEOM,pad 1<->2 ours 11.25mm vs JLC 12.00mm (d0.75mm) - land patterns disagree; adjudicate against the part datasheet's recommended pattern
C408523,L1,OK,fit=0.38mm jlc_offset=0 db=0.0 src=name-DB
