LCSC,Ref,Status,Detail
C21190,R6,MODEL-REG-OK,body on courtyard (0.00mm)
C23630,CVCC1,MODEL-REG-OK,body on courtyard (0.00mm)
C23630,CVCC2,MODEL-REG-OK,body on courtyard (0.00mm)
C167218,L2,MODEL-REG-OK,body on courtyard (0.00mm)
C31850,RFA1,MODEL-REG-OK,body on courtyard (0.00mm)
C31850,RFC1,MODEL-REG-OK,body on courtyard (0.00mm)
C55530,COUT_A1,MODEL-REG-OK,body on courtyard (0.00mm)
C55530,COUT_A2,MODEL-REG-OK,body on courtyard (0.00mm)
C55530,COUT_A3,MODEL-REG-OK,body on courtyard (0.00mm)
C55530,COUT_A4,MODEL-REG-OK,body on courtyard (0.00mm)
C55530,COUT_C1,MODEL-REG-OK,body on courtyard (0.00mm)
C55530,COUT_C2,MODEL-REG-OK,body on courtyard (0.00mm)
C55530,COUT_C3,MODEL-REG-OK,body on courtyard (0.00mm)
C55530,COUT_C4,MODEL-REG-OK,body on courtyard (0.00mm)
C4211,RFA2,MODEL-REG-OK,body on courtyard (0.00mm)
C4211,RFC2,MODEL-REG-OK,body on courtyard (0.00mm)
C400894,Q1,MODEL-REG,"body center 2.0mm off courtyard, area ratio 0.82, incl. pad_geom_delta=0.61mm -> 180-flipped model: add {lcsc: C400894, model_rot_z: 180} to the adjudications file"
C83846,D1,MODEL-REG-OK,body on courtyard (0.00mm)
C125897,U1,MODEL-REG-OK,body on courtyard (0.07mm)
C125897,U2,MODEL-REG-OK,body on courtyard (0.07mm)
C5337088,J5,MODEL-REG-OK,body on courtyard (0.05mm)
C7519,U3,MODEL-REG-OK,body on courtyard (0.00mm)
C7519,U4,MODEL-REG-OK,body on courtyard (0.00mm)
C7519,U5,MODEL-REG-OK,body on courtyard (0.00mm)
C7519,U6,MODEL-REG-OK,body on courtyard (0.00mm)
C2297,LED2,MODEL-REG-OK,body on courtyard (0.00mm)
C2297,LED3,MODEL-REG-OK,body on courtyard (0.00mm)
C84256,LED1,MODEL-REG-OK,body on courtyard (0.00mm)
C98732,J1,MODEL-REG-OK,body on courtyard (0.05mm)
