Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
910k 1%,R_PD_UV_TOP_HI,R_0402_1005Metric,C25800,1,OK,C25800,expand,42065,0402WGF9103TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0026
27.4k 1%,"R_BUCK_A_EN_BOT,R_BUCK_B_EN_BOT",R_0603_1608Metric,C26971,2,OK,C26971,expand,11516,0402WGF2742TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0011
TPS259827ONRGET bank eFuse,"U_AGG_A,U_AGG_B",VQFN-24-EP_4x4mm_P0.5mm,C2155765,2,OK,C2155765,expand,603,TPS259827ONRGET,Texas Instruments,VQFN-24(4x4),6.5514
TPS259470A port eFuse,"U_PWR1,U_PWR2,U_PWR3,U_PWR4",VQFN-10-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C3662799,4,OK,C3662799,expand,1125,TPS259470ARPWR,Texas Instruments,QFN-10(2x2),1.4031
PESD2USB5UX-TR,"U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD_UP",SOT-23,C3709087,5,OK,C3709087,expand,2523,PESD2USB5UX-TR,Nexperia,TO-236AB,0.4364
USB2517I hub controller,U_HUB,QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm_ThermalVias,C478081,1,OK,C478081,expand,5347,USB2517I-JZX,Microchip Tech,QFN-64-EP(9x9),4.3
1k 1%,R_PD_VDD,R_0402_1005Metric,C52444,1,OK,C52444,expand,36004,1210W2F1001T5E,UNI-ROYAL(Uniroyal Elec),1210,0.0292
AP63203Q 3V3 buck,U_MAIN,TSOT-23-6,C5248536,1,OK,C5248536,expand,1491,AP63203QWU-7,Diodes Incorporated,TSOT-23-6,2.0097
1uF 25V,"C_HUB_18,C_HUB_18PLL,C_HUB_A_BULK,C_HUB_CR_BULK,C_HUB_RESET,C_PD_VDD,C_PWR_CTRL_OUT",C_0402_1005Metric,C52923,7,OK,C52923,base,13863712,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,0.012
100nF 50V,"C_PD_IN_HF,C_BUCK_A_IN_HF,C_BUCK_B_IN_HF",C_0603_1608Metric,C5360793,3,OK,C5360793,expand,384556,TCC0603X7R105K500CT,CCTC,0603,0.0294
