Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
43.2kΩ,R_AGG_OV_BOT,R_0603_1608Metric,C861404,1,OK,C861404,expand,4708,RT0603BRD0743K2L,YAGEO,0603,0.0356
47kΩ,R_VBUS_TOP,R_0402_1005Metric,C25792,1,OK,C25792,base,6999537,0402WGF4702TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0046
499Ω,R_PD_FB_B,R_0402_1005Metric,C852807,1,OK,C852807,expand,85417,RT0402BRD07499RL,YAGEO,0402,0.028
5.1kΩ,"R_CC1,R_CC2",R_0402_1005Metric,C25905,2,OK,C25905,base,9457848,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0043
"74LVC08APW,118","U_AND_DATA,U_AND_PWR",TSSOP-14_4.4x5mm_P0.65mm,C6053,2,OK,C6053,expand,1958,"74LVC08APW,118",Nexperia,TSSOP-14,0.1377
75kΩ,R_PD_FB_A,R_0402_1005Metric,C319478,1,OK,C319478,expand,9319,AR02BTD7502,Viking Tech,0402,0.0319
AP63203QWU-7,U_BUCK,TSOT-23-6,C5248536,1,OK,C5248536,expand,2369,AP63203QWU-7,Diodes Incorporated,TSOT-23-6,2.0048
CH224K,U_PD,WCH_CH224K_ESSOP10_EP,C970725,1,OK,C970725,expand,7521,CH224K,WCH(Jiangsu Qin Heng),ESSOP-10-150mil-1mm,0.4871
CX3225SB24000H0FLJCC,Y_HUB,Crystal_SMD_3225-4Pin_3.2x2.5mm,C1985204,1,OK,C1985204,expand,8,CX3225SB24000H0FLJCC,--,SMD3225-4P,0.8738
FSUSB42MUX,"U_DATA1,U_DATA2,U_DATA3,U_DATA4",MSOP-10_3x3mm_P0.5mm,C11355,4,OK,C11355,expand,52618,FSUSB42MUX,onsemi,MSOP-10,0.3165
KH-AF90DIP-112,"J_PORT1,J_PORT2,J_PORT3,J_PORT4",KH-AF90DIP-112_Horizontal,C503996,4,OK,C503996,expand,8457,KH-AF90DIP-112,Shenzhen Kinghelm Elec,Push-Pull,0.0442
MCP2221A-I/SL,U_CTRL,SOIC-14_3.9x8.7mm_P1.27mm,C640876,1,OK,C640876,expand,32,MCP2221A-I/SL,Microchip Tech,SOIC-14,5.9027
MCP23017T-E/SS,U_EXP,SSOP-28_5.3x10.2mm_P0.65mm,C558584,1,OK,C558584,expand,3706,MCP23017T-E/SS,Microchip Tech,SSOP-28,1.7168
MWSA0804S-3R3MT,L_PD,Sunlord_MWSA0804S,C17700166,1,OK,C17700166,expand,304,MWSA0804S-3R3MT,Sunlord,"SMD,8.8x8.2mm",0.2619
PESD2USB3UX-TR,"U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD_UP",SOT-23,C3708426,5,OK,C3708426,expand,78,PESD2USB3UX-TR,Nexperia,SOT-23,0.214
SMF16A,D_PD_TVS,Littelfuse_SMF_SOD-123FL,C207257,1,OK,C207257,expand,5097,SMF16A,Littelfuse,SOD-123FL,0.1476
TPS2557DRBR,"U_PWR1,U_PWR2,U_PWR3,U_PWR4,U_PWR_CTRL",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,C130056,5,OK,C130056,expand,2554,TPS2557DRBR,Texas Instruments,SON-8(3x3),1.2411
TPS259474LRPWR,U_AGG,TI_RPW0010A_VQFN-HR-10_2x2mm_P0.45mm,C2864845,1,OK,C2864845,expand,3381,TPS259474LRPWR,Texas Instruments,VQFN-10-HR(2x2),1.3673
TPS56637RPAR,U_PD_BUCK,TI_RPA0010A_VQFN-HR-10_3x3mm,C841386,1,OK,C841386,expand,2665,TPS56637RPAR,Texas Instruments,VQFN-10-HR(3x3),2.521
TYPE-C-31-M-12,"J_DATA,J_POWER",TYPE-C-31-M-12_Datasheet,C165948,2,OK,C165948,expand,423348,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,0.1848
USB2517I-JZX,U_HUB,QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm_ThermalVias,C478081,1,OK,C478081,expand,3292,USB2517I-JZX,Microchip Tech,QFN-64-EP(9x9),4.2895
