LCSC,Ref,Status,Detail
C15849,C4,MODEL-REG-OK,body on courtyard (0.00mm)
C15849,C7,MODEL-REG-OK,body on courtyard (0.00mm)
C15849,C8,MODEL-REG-OK,body on courtyard (0.00mm)
C15849,C9,MODEL-REG-OK,body on courtyard (0.00mm)
C23345,R1,MODEL-REG-OK,body on courtyard (0.00mm)
C23345,R2,MODEL-REG-OK,body on courtyard (0.00mm)
C31850,R15,MODEL-REG-OK,body on courtyard (0.00mm)
C22356360,R7,MODEL-REG-OK,body on courtyard (0.00mm)
C4190,R18,MODEL-REG-OK,body on courtyard (0.00mm)
C4190,R8,MODEL-REG-OK,body on courtyard (0.00mm)
C1663,C5,MODEL-REG-OK,body on courtyard (0.00mm)
C1663,C6,MODEL-REG-OK,body on courtyard (0.00mm)
C22991,R11,MODEL-REG-OK,body on courtyard (0.00mm)
C23186,R4,MODEL-REG-OK,body on courtyard (0.00mm)
C23186,R5,MODEL-REG-OK,body on courtyard (0.00mm)
C1002,FB1,MODEL-REG-OK,body on courtyard (0.02mm)
C189893,J3,MODEL-REG-OK,body on courtyard (0.05mm)
C514175,J2,MODEL-REG-OK,body on courtyard (0.34mm)
C180425,U1,MODEL-REG-OK,body on courtyard (0.00mm)
C398355,U2,MODEL-REG-OK,body on courtyard (0.00mm)
C2862740,U3,MODEL-REG-OK,body on courtyard (0.01mm)
C3020560,J1,MODEL-REG-OK,body on courtyard (0.13mm)
C2687116,D1,MODEL-REG-OK,body on courtyard (0.00mm)
C2687116,D2,MODEL-REG-OK,body on courtyard (0.00mm)
C2297,D3,MODEL-REG-OK,body on courtyard (0.00mm)
C2297,D4,MODEL-REG-OK,body on courtyard (0.00mm)
