21:09:52: Debug: Adding duplicate image handler for 'PNG file'
21:09:52: Debug: Adding duplicate image handler for 'JPEG file'
21:09:52: Debug: Adding duplicate image handler for 'TIFF file'
21:09:52: Debug: Adding duplicate image handler for 'GIF file'
21:09:52: Debug: Adding duplicate image handler for 'PNM file'
21:09:52: Debug: Adding duplicate image handler for 'PCX file'
21:09:52: Debug: Adding duplicate image handler for 'IFF file'
21:09:52: Debug: Adding duplicate image handler for 'Windows icon file'
21:09:52: Debug: Adding duplicate image handler for 'Windows cursor file'
21:09:52: Debug: Adding duplicate image handler for 'Windows animated cursor file'
21:09:52: Debug: Adding duplicate image handler for 'TGA file'
21:09:52: Debug: Adding duplicate image handler for 'XPM file'
assembly: 1 coded not-assembled/consigned ref(s) from 03_src/rules/assembly.yaml

bodies mounted: 174/174  ->  /home/mouse9911/gits/circuits/projects/crow-recorder-central-v2/06_build/twin_v15/missing_models.txt
C15850  C_avdd3a  MODEL-REG-OK  body on courtyard (0.00mm)
C15850  C_b0v9  MODEL-REG-OK  body on courtyard (0.00mm)
C15850  C_b1v8  MODEL-REG-OK  body on courtyard (0.00mm)
C15850  C_b3v3  MODEL-REG-OK  body on courtyard (0.00mm)
C15850  C_vref2a  MODEL-REG-OK  body on courtyard (0.00mm)
C15850  C_vref3a  MODEL-REG-OK  body on courtyard (0.00mm)
C15850  Cin_U7  MODEL-REG-OK  body on courtyard (0.00mm)
C15850  Cin_U8  MODEL-REG-OK  body on courtyard (0.00mm)
C1547  CL1  MODEL-REG-OK  body on courtyard (0.00mm)
C1547  CL2  MODEL-REG-OK  body on courtyard (0.00mm)
C26083  Rf  MODEL-REG-OK  body on courtyard (0.00mm)
C11702  R_bg1  MODEL-REG-OK  body on courtyard (0.00mm)
C11702  R_inj1  MODEL-REG-OK  body on courtyard (0.00mm)
C11702  R_inj2  MODEL-REG-OK  body on courtyard (0.00mm)
C1523  Cd1  MODEL-REG-OK  body on courtyard (0.00mm)
C1523  Cd2  MODEL-REG-OK  body on courtyard (0.00mm)
C1523  Cd3  MODEL-REG-OK  body on courtyard (0.00mm)
C1523  Cd4  MODEL-REG-OK  body on courtyard (0.00mm)
C1523  Cd5  MODEL-REG-OK  body on courtyard (0.00mm)
C1523  Cd6  MODEL-REG-OK  body on courtyard (0.00mm)
C1523  Cd7  MODEL-REG-OK  body on courtyard (0.00mm)
C1523  Cd8  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  C_ldo2  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  C_ldo3  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  C_micb2  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  C_micb3  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  C_pll1  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  C_u18a  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  C_u33a  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  Cin_U10  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  Cin_U9  MODEL-REG-OK  body on courtyard (0.00mm)
C52923  Cout_U9  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  C_vb  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc1M  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc1P  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc2M  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc2P  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc3M  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc3P  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc4M  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc4P  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc5M  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc5P  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc6M  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc6P  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc7M  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc7P  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc8M  MODEL-REG-OK  body on courtyard (0.00mm)
C377773  Cc8P  MODEL-REG-OK  body on courtyard (0.00mm)
C72203  Cout_U10  MODEL-REG-OK  body on courtyard (0.00mm)
C25764  R_fb1a  MODEL-REG-OK  body on courtyard (0.00mm)
C25764  R_fb2a  MODEL-REG-OK  body on courtyard (0.00mm)
C25767  R_vb1  MODEL-REG-OK  body on courtyard (0.00mm)
C45783  C_5V1  MODEL-REG-OK  body on courtyard (0.00mm)
C45783  Cout_U7  MODEL-REG-OK  body on courtyard (0.00mm)
C45783  Cout_U8  MODEL-REG-OK  body on courtyard (0.00mm)
C25778  R_vb2  MODEL-REG-OK  body on courtyard (0.00mm)
C25105  R_bck  MODEL-REG-OK  body on courtyard (0.00mm)
C25105  R_lrck  MODEL-REG-OK  body on courtyard (0.00mm)
C25105  R_mck1  MODEL-REG-OK  body on courtyard (0.00mm)
