Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
300Ω,"R_AGG_A_ILIM,R_AGG_B_ILIM",R_0603_1608Metric,C23025,2,10,210,929109,OK,C23025,base,929119,0603WAF3000T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0128
330nF,C_CTRL_VUSB,C_0402_1005Metric,C19271634,1,5,205,30786,OK,C19271634,expand,30791,GRM155R61H334KE01D,Murata Electronics,0402,0.0304
4.7kΩ,"R_I2C_SCL,R_I2C_SDA",R_0402_1005Metric,C25900,2,10,210,22026668,OK,C25900,base,22026678,0402WGF4701TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0049
47kΩ,R_VBUS_TOP,R_0402_1005Metric,C25792,1,5,205,6924039,OK,C25792,base,6924044,0402WGF4702TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0046
5.1kΩ,"R_CC1,R_CC2",R_0402_1005Metric,C25905,2,10,210,9069638,OK,C25905,base,9069648,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0043
5.9kΩ,R_PD_IN_ILIM,R_0603_1608Metric,C23071,1,5,205,67386,OK,C23071,expand,67391,0603WAF5901T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0029
51kΩ,R_PD_OV_BOT,R_0402_1005Metric,C107229,1,5,205,781387,OK,C107229,expand,781392,RC0402FR-0751KL,YAGEO,0402,0.0041
6.8nF,"C_AGG_A_TIMER,C_AGG_B_TIMER",C_0603_1608Metric,C162241,2,10,210,120572,OK,C162241,expand,120582,GRM1885C1H682JA01D,Murata Electronics,0603,0.0325
"74LVC08APW,118","U_AND_DATA,U_AND_PWR",TSSOP-14_4.4x5mm_P0.65mm,C6053,2,10,210,15628,OK,C6053,expand,15638,"74LVC08APW,118",Nexperia,TSSOP-14,0.1398
75kΩ,"R_FB_A_TOP,R_FB_B_TOP",R_0402_1005Metric,C319478,2,10,210,9309,OK,C319478,expand,9319,AR02BTD7502,Viking Tech,0402,0.032
910kΩ,R_PD_UV_TOP_HI,R_0402_1005Metric,C25800,1,5,205,39900,OK,C25800,expand,39905,0402WGF9103TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0026
AP63203QWU-7,U_MAIN,TSOT-23-6,C5248536,1,5,205,777,OK,C5248536,expand,782,AP63203QWU-7,Diodes Incorporated,TSOT-23-6,2.0109
CH224K,U_PD,WCH_CH224K_ESSOP10_EP,C970725,1,5,205,6290,OK,C970725,expand,6295,CH224K,WCH(Jiangsu Qin Heng),ESSOP-10-150mil-1mm,0.4886
FSUSB42MUX,"U_DATA1,U_DATA2,U_DATA3,U_DATA4",MSOP-10_3x3mm_P0.5mm,C11355,4,20,220,48443,OK,C11355,expand,48463,FSUSB42MUX,onsemi,MSOP-10,0.3175
MCP2221A-I/ST,U_CTRL,TSSOP-14_4.4x5mm_P0.65mm,C130462,1,5,205,395,OK,C130462,expand,400,MCP2221A-I/ST,Microchip Tech,TSSOP-14,3.4326
