Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
B340A-13-F,"D4,D5,D6,D7",D_SMA,C85098,4,OK,C85098,expand,305161,B340A-13-F,SMA(DO-214AC),0.0864
BSC016N06NS,"Q1,Q2",TDSON-8-1_PhysicalPins,C454269,2,OK,C454269,expand,18711,BSC016N06NS,TDSON-8FL,1.1441
CX3225SB24000H0FLJCC,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C1985204,1,OK,C1985204,expand,19,CX3225SB24000H0FLJCC,SMD3225-4P,0.8714
FSUSB42MUX,"U13,U14,U15,U16",MSOP-10_3x3mm_P0.5mm,C11355,4,OK,C11355,expand,64283,FSUSB42MUX,MSOP-10,0.3157
FTSH-105-01-L-D-K,J7,PinHeader_2x05_P1.27mm_Vertical,C19191796,1,OK,C19191796,expand,1371,FTSH-105-01-L-D-K,"Plugin,P=1.27mm",1.4636
LM5116MHX/NOPB,"U2,U3",HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.75x3.43mm,C13755,2,OK,C13755,expand,6360,LM5116MHX/NOPB,HTSSOP-20-EP,2.3526
LM74810QDRRRQ1,U1,WSON-12-1EP_3x3mm_P0.5mm_EP1.5x2.5mm,C3215601,1,OK,C3215601,expand,374,LM74810QDRRRQ1,WSON-12-EP(3x3),2.7318
MWSA1206S-6R8MT,"L1,L2",L_Sunlord_MWSA1206S-6R8,C408523,2,OK,C408523,expand,378,MWSA1206S-6R8MT,"SMD,13.5x12.6mm",0.6084
SMBJ26A,D1,D_SMB,C315992,1,OK,C315992,expand,11876,SMBJ26A,DO-214AA,0.1333
STM32G0B1CBT6,U7,LQFP-48_7x7mm_P0.5mm,C2847904,1,OK,C2847904,expand,221,STM32G0B1CBT6,LQFP-48(7x7),5.6669
TPS259470ARPWR,"U10,U11,U12,U9",Texas_RPW0010A_VQFN-HR-10_2x2mm_P0.45mm_ThermalVias,C3662799,4,OK,C3662799,expand,1736,TPS259470ARPWR,QFN-10(2x2),1.3474
USB2517I-JZX,U6,QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm_ThermalVias,C478081,1,OK,C478081,expand,5407,USB2517I-JZX,QFN-64-EP(9x9),4.2776
USBLC6-2SC6,"U17,U18,U19,U20,U5",SOT-23-6,C7519,5,OK,C7519,expand,20548,USBLC6-2SC6,SOT-23-6L,0.1809
VLS6045EX-4R7M,L3,L_TDK_VLS6045EX_VLS6045AF,C307880,1,OK,C307880,expand,8756,VLS6045EX-4R7M,"SMD,6x6mm",0.1349
